outcome,dif_alto,se_alto,p_alto,grad_ncomp,se_ncomp,p_ncomp
p93,-0.239712557821976,0.173478005013837,0.169516378632006,-0.0914274710638882,0.0905428976436148,0.314572002456467
p95,-0.379640920614009,0.177329339320643,0.0342408456581281,-0.099490998724058,0.0997049006189536,0.320293105750587
p97,-0.183546941378469,0.16735721901925,0.274916247636961,-0.106248797876531,0.105224409275706,0.314620581889103
pdi,-0.590498473185102,0.163158175568101,0.000428849282508836,-0.149032108946735,0.126699348513105,0.241741932696771
m93,-1.97912424639491,1.5210350241433,0.195613010834754,-2.16334207053428,1.0514128521789,0.0417287837421413
m97,-1.17637123055986,1.86667896223683,0.529745794339655,-2.26591027615823,1.04970415982883,0.0328379864671573
mdi,-3.85302311968556,1.25110631533875,0.00255228617889915,-1.64455123445237,0.866019206874652,0.0598908122484018
