min_n,outcome,n_est,dif,se,p
4,p93,1077,-0.260901102972885,0.165819083992945,0.118092893916365
4,pdi,1076,-0.512268671710245,0.160394679678514,0.00176776542350764
8,p93,834,-0.31128865697824,0.196145669792166,0.116888617837483
8,pdi,833,-0.555293760826149,0.186167681349004,0.0038970779238904
12,p93,619,-0.462468351001623,0.212053355486418,0.0345793709025238
12,pdi,618,-0.491183257835614,0.172259277908027,0.00660397566502357
