ym,Gasolina 93,Gasolina 97,Diésel
2014-08-01,70.174676165805,87.9389393939412,74.589220038049
2014-09-01,65.7076474400519,82.7566893424021,75.355076142132
2014-10-01,65.938347320854,82.681749622928,76.507779886148
2014-11-01,68.4438303341884,87.0087152516922,76.5137909319878
2014-12-01,69.0617212588329,91.1182835820876,78.4707730986801
2015-01-01,68.621419437342,88.6073243647235,78.9752190237777
2015-02-01,65.5627551020408,93.0263785394954,75.7615193026173
2015-03-01,61.3626429479017,93.6726394052065,74.0028535980169
2015-04-01,71.7881043256979,106.015270570794,74.206765983861
2015-05-01,70.993061744112,106.615976331361,72.6623602484453
2015-06-01,69.3030012771411,110.327198817443,73.1184769038681
2015-07-01,68.3556194125141,116.731578947369,75.9839675608256
2015-08-01,65.4942748091621,114.783087149191,76.6606587942822
2015-09-01,55.1326402016383,105.802936857563,77.1146551724158
2015-10-01,55.3938634940514,111.782116788321,76.9577111383109
2015-11-01,56.599311208516,112.043075801746,76.496080832821
2015-12-01,58.9671660424459,115.604647785037,80.3269676632073
2016-01-01,56.6536539662727,112.965043604648,78.9985949908392
2016-02-01,59.1004364089765,111.727490909091,78.9737515225315
2016-03-01,60.731625,108.864186725015,76.1257177764181
2016-04-01,69.9737991266395,118.010706482156,75.560402684566
2016-05-01,69.5274424393299,116.895500725689,74.5734917733111
2016-06-01,69.0145885286764,120.812999273784,74.570042708971
2016-07-01,69.9889582033705,120.848946986202,75.1615853658537
2016-08-01,63.8318352059907,114.17550872093,76.4737484737485
2016-09-01,56.9703124999983,107.372978878371,76.3222018348602
2016-10-01,57.0133208255142,105.059243085883,75.4850673194593
2016-11-01,57.2598247809753,104.982069970846,75.8402939375363
2016-12-01,58.723418910456,105.101824817519,75.357169117645
2017-01-01,64.570569818411,111.013795620438,76.2393010423033
2017-02-01,66.8711864406796,114.15580715851,76.1191763982812
2017-03-01,63.9405878674171,111.076649746193,74.8764561618639
2017-04-01,68.9244360902256,115.409090909091,74.0356703567015
2017-05-01,70.6662935323364,115.730108303249,76.2890042761171
2017-06-01,72.106592039801,115.990751445084,77.1280316879972
2017-07-01,72.8094468614027,114.698413842826,76.7846622032889
2017-08-01,67.7712168004922,108.695340501789,77.090799031475
2017-09-01,67.6717632552423,105.873013600573,75.502416918431
2017-10-01,70.0327990135616,110.042662848962,76.0583333333354
2017-11-01,68.3120393120375,108.97806267806,76.3060733613971
2017-12-01,68.5711479435217,109.97345635202,76.1030704394923
2018-01-01,67.9032336790744,110.333192389003,75.4405260011975
2018-02-01,68.056951219514,110.793380281687,75.9384248210001
2018-03-01,68.7429268292664,110.55,76.2822792362791
2018-04-01,74.8369604863222,116.325822253325,75.7078571428592
2018-05-01,75.7006695069994,117.112605042018,75.8746126340903
2018-06-01,76.7134756097581,117.032260321904,75.8025104602533
2018-07-01,75.7992053789711,118.148316970544,76.3670059880239
2018-08-01,69.4250459277384,113.142275280899,76.5767846430735
2018-09-01,68.6575535168177,113.408829712685,77.2423606950246
2018-10-01,67.8438339438339,110.268649405179,76.6812200956917
2018-11-01,69.7191931540342,113.006657323056,77.0327741162349
2018-12-01,70.888379204891,114.876718092564,76.8871702637913
2019-01-01,71.7176077717042,116.544103279829,76.922843545511
2019-02-01,71.8360289680124,116.474618585301,77.0687388987543
2019-03-01,69.0490066225146,113.982734806631,76.742266824083
2019-04-01,76.7036769138035,120.687370600414,76.7259456264752
2019-05-01,77.5658052884615,122.123747426218,76.5167452830165
2019-06-01,77.3262492474393,123.416632302402,76.8351447135242
2019-07-01,76.9830222757352,123.357898351647,78.0343768458334
2019-08-01,69.5666266506603,115.026095890412,79.7613529411765
2019-09-01,68.6934131736507,114.4060875513,79.5179577464764
2019-10-01,70.3856545128491,113.942554644808,80.1440538957261
2019-11-01,71.6138221153867,115.128689087165,80.1403415783291
2019-12-01,72.1992801439733,118.299451303156,80.3734861845989
2020-01-01,75.0691431995229,121.927260273969,83.1560517038789
2020-02-01,77.8118847539039,124.820944558518,85.7952830188686
2020-03-01,82.6678271308549,127.428767123284,86.9988803771367
2020-04-01,90.2581730769202,134.34101508916,88.2327433628322
2020-05-01,90.9801204819249,135.094234728891,88.8151389710234
2020-06-01,91.8408926417341,135.739396019214,89.8512137359386
2020-07-01,92.4784077201418,136.546291208788,90.3644970414202
2020-08-01,87.8120627261768,132.317433081675,91.5406619385313
2020-09-01,87.6501503307249,132.526657552973,90.8186800235681
2020-10-01,88.0978978978951,133.127477785373,90.5601060695374
2020-11-01,91.0106778644272,133.902730375423,89.7754561506798
2020-12-01,89.0501200480164,130.334128065393,89.5109540636072
2021-01-01,90.8707082833135,133.404155313348,89.0649381261049
2021-02-01,88.6914714714687,131.045844686649,88.6803655660406
2021-03-01,89.2158558558587,131.65054421769,88.1746462264155
2021-04-01,91.9318536292771,134.244021739133,88.5812720848028
2021-05-01,91.3919808497907,133.761668928083,90.1377203290276
2021-06-01,90.8058542413381,133.021641791048,91.4742957746478
2021-07-01,87.5734925373135,129.904206241523,94.0584164222869
2021-08-01,89.6164572112535,127.136931432451,96.5830787309017
2021-09-01,87.8222155688617,126.392396469793,97.2840094062285
2021-10-01,88.1078443113773,126.466350067839,96.455790711347
2021-11-01,87.3937649880069,125.343945578229,95.1041789287847
2021-12-01,87.2352659892436,124.718046132972,95.6642982971258
2022-01-01,89.3343096234338,126.440569877881,98.3741935483903
