outcome,estimador,prob,qtt,se,li_pw,ls_pw,li,ls
p93,Callaway-Li,0.1,-0.273962401708786,0.419118441062202,-1.09541945144727,0.547494648029702,-4.87317323807696,4.32524843465939
p93,Callaway-Li,0.15,-0.503362611558487,0.374753379847258,-1.23786573914377,0.231140516026797,-4.61573190075259,3.60900667763561
p93,Callaway-Li,0.2,-0.323536396467489,0.243063466706519,-0.799932037169716,0.152859244234738,-2.99080182904703,2.34372903611205
p93,Callaway-Li,0.25,-0.456554721232806,0.220068719162721,-0.887881484915598,-0.0252279575500136,-2.87148648933565,1.95837704687004
p93,Callaway-Li,0.3,-0.735432332832033,0.176057918081491,-1.08049951146486,-0.390365154199209,-2.66741003969853,1.19654537403446
p93,Callaway-Li,0.35,-0.359448514241308,0.278789366965352,-0.905865632766118,0.186968604283502,-3.41875335981592,2.6998563313333
p93,Callaway-Li,0.4,-0.483285936528091,0.198170528529341,-0.871693035242866,-0.0948788378133163,-2.65791714567044,1.69134527261426
p93,Callaway-Li,0.45,-0.401323338678594,0.196845828826997,-0.787134073686445,-0.0155126036707431,-2.56141790941746,1.75877123206027
p93,Callaway-Li,0.5,-0.261813651075158,0.225549769070658,-0.703883075174973,0.180255773024657,-2.73689191158089,2.21326460943057
p93,Callaway-Li,0.55,-0.353836876590549,0.472629023025652,-1.28017273976918,0.57249898658808,-5.54024795116094,4.83257419797984
p93,Callaway-Li,0.6,-1.08118988998569,0.690382779879985,-2.43431527409711,0.27193549412572,-8.65712941299698,6.49474963302559
p93,Callaway-Li,0.65,-1.7864962339728,0.653165078234021,-3.06667626327076,-0.506316204674832,-8.95402600941721,5.38103354147161
p93,Callaway-Li,0.7,-0.638329431993043,0.983214526677418,-2.56539449335738,1.28873562937129,-11.427668345616,10.1510094816299
p93,Callaway-Li,0.75,-0.576772461753762,1.99261901588146,-4.48223396779107,3.32868904428355,-22.4428467565739,21.2893018330664
p93,Callaway-Li,0.8,0.0456187242101578,0.949502573815143,-1.81537212369561,1.90660957211592,-10.373780898442,10.4650183468623
p93,Callaway-Li,0.85,-0.849650632945668,0.511448950281592,-1.8520721554284,0.152770889537069,-6.46205353371692,4.76275226782558
