grupo,radio,tot,same,n,Misma marca,Distinta marca
Pequeña/sin bandera,2 km,562,26,184,4.62633451957295,95.3736654804271
Aramco/Petrobras,2 km,251,47,68,18.7250996015936,81.2749003984064
Copec,2 km,442,124,140,28.0542986425339,71.9457013574661
Shell,2 km,380,112,90,29.4736842105263,70.5263157894737
Pequeña/sin bandera,5 km,1754,58,184,3.30672748004561,96.6932725199544
Aramco/Petrobras,5 km,732,153,68,20.9016393442623,79.0983606557377
Copec,5 km,1456,506,140,34.7527472527473,65.2472527472528
Shell,5 km,1283,384,90,29.9298519095869,70.0701480904131
