outcome,att_sa,se_sa,p_sa,att_tw,se_tw,p_tw,n_cohortes,n_nunca
p93,-0.41325167339519,0.10756199852631,0.000150162543116044,-0.37335195046314,0.0937652746250303,8.66739191631895e-05,25,710
p95,-0.380225242716804,0.113599885553894,0.000925686582632995,-0.343935825917958,0.0958445622109931,0.000390987003131016,25,711
p97,-0.23409848462399,0.129413552394827,0.0715843237498148,-0.220577472972346,0.0902867100883727,0.0152084860079874,25,639
pdi,-0.588291654847604,0.130182669858764,9.04722789281095e-06,-0.538543211755275,0.11860139952862,8.2156710309106e-06,25,719
