brand_group_pre,event_week,median_margin,ci_low,ci_high,n_stations,baseline,d_median,d_low,d_high
copec,-14,130.75,104.8,172.7,77,128.2125,2.53749999999999,-23.4125000000001,44.4875
copec,7,113.4,99.3000000000001,149.05,57,128.2125,-14.8124999999999,-28.9124999999999,20.8375000000001
copec,-13,127.475,113.125,140.75,336,128.2125,-0.737499999999983,-15.0875,12.5375
independiente,-12,115.65,96.0375,139.8125,196,115.81875,-0.16875000000006,-19.78125,23.99375
independiente,-10,132.7,100.6,148.6,65,115.81875,16.88125,-15.2187500000001,32.7812499999999
independiente,-9,113,96.0125000000001,137.9,206,115.81875,-2.81875000000004,-19.80625,22.0812500000001
independiente,-8,107.95,96.6250000000001,138.675,83,115.81875,-7.86874999999999,-19.19375,22.85625
independiente,-7,122,97.9000000000001,149.8,51,115.81875,6.18124999999996,-17.9187499999999,33.9812499999999
independiente,-6,117.8,96.05,139.15,199,115.81875,1.98124999999997,-19.76875,23.33125
independiente,-3,112.225,95.1375,138.4,216,115.81875,-3.59375000000001,-20.6812500000001,22.58125
independiente,-2,118.25,97.7,140.0125,116,115.81875,2.43125000000002,-18.11875,24.19375
independiente,-1,130.3,95.7000000000001,178.85,143,115.81875,14.48125,-20.11875,63.03125
independiente,0,117.75,98.5,142.5,204,115.81875,1.93124999999996,-17.31875,26.68125
independiente,1,130,111.725,153.725,139,115.81875,14.18125,-4.09375000000001,37.90625
independiente,2,127.5,102.25,147,59,115.81875,11.68125,-13.56875,31.18125
independiente,3,118.7,101.2,145.2,205,115.81875,2.8812499999999,-14.6187500000001,29.3812499999999
independiente,4,113.2,98.6999999999999,149.1,41,115.81875,-2.61875000000011,-17.1187500000001,33.2812499999999
independiente,10,107.5,97.4000000000001,130.5,33,115.81875,-8.31875000000004,-18.4187499999999,14.68125
independiente,12,119.2,103.7,144.125,218,115.81875,3.38125000000001,-12.11875,28.30625
independiente,13,112.2,99.2000000000001,151.325,38,115.81875,-3.61874999999999,-16.61875,35.50625
independiente,14,147.6,103.475,156.325,14,115.81875,31.78125,-12.34375,40.50625
independiente,6,113.4,97.4000000000001,140.4375,200,115.81875,-2.41874999999995,-18.4187499999999,24.6187500000001
independiente,9,115.4,97.4000000000001,144.4,213,115.81875,-0.418749999999946,-18.4187499999999,28.5812500000001
independiente,-14,102.7,89.9625,119.8,30,115.81875,-13.11875,-25.85625,3.98124999999992
independiente,7,100.25,96.5750000000001,123.225,20,115.81875,-15.56875,-19.24375,7.40625000000004
independiente,5,112.1,98.0499999999999,133.225,52,115.81875,-3.71875000000013,-17.7687500000001,17.4062499999999
independiente,-4,102.5,92.75,137.45,66,115.81875,-13.31875,-23.06875,21.63125
independiente,-13,107.7,101.7,127.75,44,115.81875,-8.11874999999999,-14.11875,11.93125
independiente,-11,118.7,92.65,120.4375,32,115.81875,2.88125000000001,-23.1687500000001,4.61874999999999
independiente,-5,91.9,79.45,111.3,32,115.81875,-23.91875,-36.36875,-4.51875000000003
independiente,11,88.9500000000001,58.45,113.575,42,115.81875,-26.86875,-57.3687500000001,-2.24374999999999
independiente,8,96.4000000000001,55.9000000000001,113.75,11,115.81875,-19.4187499999999,-59.91875,-2.06874999999998
shell,-12,124.7,102.45,152.65,439,127.89375,-3.19374999999997,-25.44375,24.75625
shell,-10,136.4,119.65,161.8125,284,127.89375,8.50624999999997,-8.24375000000003,33.91875
shell,-9,124.8,100.9,147.9,445,127.89375,-3.09375000000006,-26.9937499999999,20.0062500000001
shell,-7,152.35,125.7875,163,216,127.89375,24.45625,-2.10625000000002,35.10625
shell,-6,123.95,100.4,145.975,444,127.89375,-3.94374999999999,-27.49375,18.08125
shell,-3,123,99.2375,145.025,444,127.89375,-4.89375000000001,-28.65625,17.1312500000001
shell,-2,129.8,113.175,159.8,304,127.89375,1.90625,-14.7187499999999,31.9062499999999
