tipo,grupo,outcome,event_time,estimate,se,ci_low,ci_high
precio,anillo,p93,-4,0.0403878887485993,0.0892556167900715,-0.134553120159941,0.215328897657139
precio,anillo,p93,-3,-0.0364562851290099,0.0608526246560675,-0.155727429454902,0.0828148591968824
precio,anillo,p93,-2,0.0477587574980865,0.0608245817956373,-0.0714574228213626,0.166974937817536
precio,anillo,p93,-1,0,0,0,0
precio,anillo,p93,0,-0.211778963508641,0.0754832973776684,-0.359726226368871,-0.0638317006484108
precio,anillo,p93,1,-0.284680882965613,0.0855974793564554,-0.452451942504265,-0.11690982342696
precio,anillo,p93,2,-0.297756041138122,0.0955100253108241,-0.484955690747337,-0.110556391528907
precio,anillo,p93,3,-0.333362268527186,0.110878826177171,-0.550684767834441,-0.116039769219931
precio,anillo,p93,4,-0.449400758542214,0.119691621228021,-0.683996336149135,-0.214805180935293
precio,anillo,p95,-4,0.00651154178100759,0.100095985362845,-0.189676589530169,0.202699673092184
precio,anillo,p95,-3,-0.00392596508366879,0.0761122999222806,-0.153106072931339,0.145254142764001
precio,anillo,p95,-2,0.0630407707020329,0.0605936036895354,-0.0557226925294565,0.181804233933522
precio,anillo,p95,-1,0,0,0,0
precio,anillo,p95,0,-0.257574681684251,0.0756199287513846,-0.405789742036965,-0.109359621331537
precio,anillo,p95,1,-0.347256677844031,0.0886427997799793,-0.52099656541279,-0.173516790275271
precio,anillo,p95,2,-0.229052943472325,0.0995590009517049,-0.424188585337667,-0.0339173016069837
precio,anillo,p95,3,-0.282911985027749,0.117560150963356,-0.513329880915926,-0.0524940891395714
precio,anillo,p95,4,-0.39801661664588,0.139976122091017,-0.672369815944273,-0.123663417347486
precio,anillo,p97,-4,0.00850193677203652,0.130458849292659,-0.247197407841575,0.264201281385648
precio,anillo,p97,-3,-0.0135798761262682,0.0824828233338134,-0.175246209860542,0.148086457608006
precio,anillo,p97,-2,0.0294402643785029,0.0740597343735567,-0.115716814993668,0.174597343750674
precio,anillo,p97,-1,0,0,0,0
precio,anillo,p97,0,-0.21408357978273,0.0573573545412006,-0.326503994683483,-0.101663164881976
precio,anillo,p97,1,-0.282177408568189,0.103478433370703,-0.484995137974766,-0.0793596791616117
precio,anillo,p97,2,-0.10569428000856,0.105382597935612,-0.312244171962359,0.100855611945239
precio,anillo,p97,3,-0.146280715016942,0.112104232116615,-0.366005009965508,0.0734435799316228
precio,anillo,p97,4,-0.204475433309033,0.134255601014261,-0.467616411296985,0.0586655446789192
precio,anillo,pdi,-4,-0.0461550950403943,0.0999427891259835,-0.242042961727322,0.149732771646533
precio,anillo,pdi,-3,0.0174915909318763,0.0764011003880891,-0.132254565828778,0.167237747692531
precio,anillo,pdi,-2,0.0409481728235326,0.0597207072853583,-0.0761044134557698,0.158000759102835
precio,anillo,pdi,-1,0,0,0,0
precio,anillo,pdi,0,-0.345183047642849,0.105079461413128,-0.55113879201258,-0.139227303273117
precio,anillo,pdi,1,-0.346918438492386,0.0993797663622608,-0.541702780562417,-0.152134096422355
precio,anillo,pdi,2,-0.385811817505208,0.108621146436976,-0.598709264521681,-0.172914370488736
precio,anillo,pdi,3,-0.561327097030732,0.12136333646571,-0.799199236503523,-0.323454957557941
precio,anillo,pdi,4,-0.589402660913587,0.150752766376617,-0.884878083011757,-0.293927238815418
precio,lejano,p93,-4,-0.00486569475343956,0.083256187327783,-0.168047821915894,0.158316432409015
precio,lejano,p93,-3,-0.0209611502345328,0.0617283330336385,-0.141948682980464,0.100026382511399
precio,lejano,p93,-2,0.0420402546709027,0.0584010311043579,-0.0724257662936388,0.156506275635444
precio,lejano,p93,-1,0,0,0,0
precio,lejano,p93,0,-0.214393033191763,0.0792937698259913,-0.369808822050706,-0.0589772443328196
precio,lejano,p93,1,-0.277353283666676,0.0870994968491484,-0.448068297491007,-0.106638269842346
precio,lejano,p93,2,-0.291938888735181,0.102331924241526,-0.492509460248573,-0.0913683172217898
precio,lejano,p93,3,-0.301760244605713,0.117627795548473,-0.53231072388072,-0.0712097653307062
precio,lejano,p93,4,-0.371166222882225,0.124400157760921,-0.61499053209363,-0.12734191367082
precio,lejano,p95,-4,-0.0394441500851478,0.0984064838436484,-0.232320858418699,0.153432558248403
precio,lejano,p95,-3,0.0202429537423551,0.0807325841763487,-0.137992911243288,0.178478818727999
precio,lejano,p95,-2,0.0736214232304176,0.06220920114088,-0.0483086110057073,0.195551457466542
precio,lejano,p95,-1,0,0,0,0
precio,lejano,p95,0,-0.260174161363835,0.077349535848498,-0.411779251626891,-0.108569071100779
precio,lejano,p95,1,-0.339161166004209,0.0873572041148509,-0.510381286069316,-0.167941045939101
precio,lejano,p95,2,-0.225258190117954,0.101134781344791,-0.423482361553744,-0.0270340186821645
precio,lejano,p95,3,-0.25296206849377,0.116673456856809,-0.481642043933115,-0.0242820930544246
precio,lejano,p95,4,-0.334070113216237,0.138542018485109,-0.60561246944705,-0.062527756985424
precio,lejano,p97,-4,-0.0161435792305246,0.109258273376917,-0.230289795049283,0.198002636588234
precio,lejano,p97,-3,0.017759787701259,0.0903145788948776,-0.159256786932701,0.194776362335219
precio,lejano,p97,-2,0.050441049452588,0.0780741293174665,-0.102584244009646,0.203466342914822
precio,lejano,p97,-1,0,0,0,0
precio,lejano,p97,0,-0.251477628393936,0.0662098439028093,-0.381248922443443,-0.12170633434443
precio,lejano,p97,1,-0.304167466317037,0.10550409074358,-0.510955484174455,-0.0973794484596196
