tipo,grupo,outcome,pre_F,pre_df,pre_p,pend,pend_se,pend_p,att,deriva_12m,share_att
margen,anillo,m93,1.03728750156895,3,0.377463019747242,0.31696036435374,0.339035551984625,0.349845877175705,-2.96145334026627,3.80352437224488,-1.2843438458169
margen,anillo,m97,1.41688011170165,3,0.239643324622831,0.114316693804826,0.430247154140741,0.790470218718706,-2.2608038090301,1.37180032565791,-0.606775484090508
margen,anillo,mdi,1.40823804525701,3,0.241984085757226,0.209462144649785,0.295038631816529,0.477736260989487,-3.63373511512381,2.51354573579742,-0.691725086216633
margen,lejano,m93,0.639631311231617,3,0.590120012091157,0.187569291815642,0.334045478550937,0.574451108344241,-3.32221888019505,2.25083150178771,-0.677508491450015
margen,lejano,m97,1.98317050590763,3,0.117104015511318,0.0261471851730765,0.383781630813031,0.945681853370382,-2.54860972384926,0.313766222076918,-0.123112699108369
margen,lejano,mdi,1.10864299366167,3,0.346044616398671,0.182757631750617,0.293714899025814,0.533791962537053,-3.86379270816678,2.1930915810074,-0.56760073499076
margen,nunca,m93,0.771415973271589,3,0.510803844387993,0.242550300074384,0.305023319769173,0.426505263753251,-3.35249213331115,2.91060360089261,-0.868191030777422
margen,nunca,m97,1.55051988832576,3,0.20181338830657,0.0698953400346182,0.397567087859304,0.860445050328706,-2.42163501562687,0.838744080415419,-0.346354456804177
margen,nunca,mdi,1.25947271793954,3,0.288517558109287,0.226548349286157,0.279377484641378,0.417420742420964,-3.76601278250948,2.71858019143388,-0.72187226874529
precio,anillo,p93,1.10617152892621,3,0.348088541381103,-0.00369486236187015,0.0272608030627346,0.892186880343054,-0.381636192510507,-0.0443383483424418,0.116179621358163
precio,anillo,p95,0.717042826787967,3,0.54303420951408,0.00474321104426789,0.0310480902529693,0.878579801391955,-0.348595919828138,0.0569185325312147,-0.163279399710921
precio,anillo,p97,0.166626975644143,3,0.918755136126159,0.00175143301886615,0.0399436909894082,0.965025923470053,-0.206737542800698,0.0210171962263939,-0.101661246146546
precio,anillo,pdi,0.367475263579144,3,0.776566567308521,0.0161921867012839,0.0323909674539511,0.617146751628783,-0.471649083503866,0.194306240415407,-0.411972051279973
precio,lejano,p93,0.576165657201632,3,0.631142617847604,0.00775984891657542,0.0261894045337853,0.767003074993109,-0.309338020726057,0.0931181869989051,-0.301024060283131
precio,lejano,p95,0.92262331610059,3,0.430349997808521,0.0171710919743506,0.0313690796766128,0.584111449111941,-0.29197668677823,0.206053103692207,-0.70571765837152
precio,lejano,p97,0.221106842900929,3,0.881689433449011,0.00811119994429027,0.0347581556694522,0.815481050465896,-0.203945334468208,0.0973343993314832,-0.477257298311261
precio,lejano,pdi,0.514463704019613,3,0.672650328727858,0.00737060029175333,0.0363251745494545,0.839208409305294,-0.496019375652765,0.08844720350104,-0.178314009174829
precio,nunca,p93,0.844887895962012,3,0.470261653891121,0.00149529542121613,0.0257963463437737,0.953776192459697,-0.361715369292682,0.0179435450545935,-0.0496068084960872
precio,nunca,p95,0.690830178140045,3,0.558284401401968,0.00810972501007596,0.0304401488903681,0.789919291842547,-0.324082123332866,0.0973167001209115,-0.300284073432082
precio,nunca,p97,0.149170370478577,3,0.930163955168995,0.00351663947222365,0.0386244143066136,0.927455195670146,-0.208275380256906,0.0421996736666837,-0.202614795923699
precio,nunca,pdi,0.420840748014641,3,0.738187135223012,0.0152709791190038,0.0333856280585598,0.647375108258414,-0.484091222242324,0.183251749428045,-0.378547969903726
