outcome,base,dif,se,p
p93,-0.283807281245028,-0.260901102972885,0.165819083992945,0.118092893916365
p95,-0.246615825752514,-0.261583935173892,0.189549892945531,0.169984048960359
p97,-0.198999743310204,-0.131681907979182,0.186217632520415,0.480785369557535
pdi,-0.293238865233941,-0.512268671710245,0.160394679678514,0.00176776542350764
m93,-2.6257849001515,-1.4990410709437,1.58998013484311,0.347556783671394
m97,-2.64195280949707,0.235499703000077,1.99955920246501,0.906432838916913
mdi,-2.54208732664147,-2.6550082405998,1.15543130598926,0.0231927130634933
