muestra,term,estimate,se,p,or,n_obs,n_est,n_eventos
incidencia,l_mar_local,0.0759959159865373,0.194650274651361,0.696223890202674,1.0789581676686,30316,1393,438
incidencia,l_dmar_local,-0.112482370788006,0.118551258050443,0.342718320644798,0.893613100664446,30316,1393,438
incidencia,l_ncomp,0.395087037405118,0.1066752180359,0.000212524403121674,1.48451339349174,30316,1393,438
incidencia,l_lp_local,0.0426341899007077,0.540152659577284,0.937088388769554,1.04355608166546,30316,1393,438
timing,l_mar_local,0.190847918965687,0.249500140153522,0.444318535067254,1.21027537815326,5342,443,438
timing,l_dmar_local,-0.225826810855469,0.168955624407564,0.181351840950554,0.797856269745539,5342,443,438
timing,l_ncomp,0.333877414128998,0.0942244415306571,0.000394962894236077,1.39637195760956,5342,443,438
timing,l_lp_local,0.360763180858954,0.68010786292374,0.595800002755946,1.43442372165811,5342,443,438
